,COD_IPRESS,x,y,SECTOR_R
408,00018239,-12.0829257,-77.034945,PRIVADO
409,00018951,-5.705536,-78.803298,PRIVADO
410,00018154,-15.4996879,-70.129653,PRIVADO
411,00018211,,,PRIVADO
412,00018227,-6.7738536,-79.8454503,PRIVADO
413,00028941,-12.13209119,-77.02359549,PRIVADO
414,00018140,,,PRIVADO
415,00018375,,,PRIVADO
416,00018175,,,PRIVADO
417,00018554,,,PRIVADO
418,00018195,,,PRIVADO
419,00018148,,,PUBLICO
420,00018507,,,PRIVADO
421,00028865,-12.08260897,-75.20432286,PRIVADO
422,00028905,-12.0978748,-77.0104262,PRIVADO
423,00018128,,,PRIVADO
424,00018044,,,PRIVADO
425,00018168,,,PRIVADO
426,00018102,,,PRIVADO
427,00018117,,,PRIVADO
428,00029268,-12.1106711,-77.0299007,PRIVADO
429,00018149,,,PRIVADO
430,00018129,,,PRIVADO
431,00018241,-14.32744794,-71.47756217,PUBLICO
432,00018109,,,PRIVADO
433,00017979,,,PRIVADO
434,00018206,,,PRIVADO
435,00018537,,,PRIVADO
436,00018053,,,PRIVADO
437,00029253,-12.07569,-77.087764,PRIVADO
438,00029327,-11.8537378,-77.1251028,PRIVADO
439,00018167,-12.0427615,-76.9355379,PRIVADO
440,00018085,,,PRIVADO
441,00018164,,,PRIVADO
442,00018313,,,PRIVADO
443,00018007,-13.86231886,-72.39867327,PUBLICO
444,00018991,,,PRIVADO
445,00018159,,,PRIVADO
446,00029329,-11.83251519,-77.1444156,PRIVADO
447,00018088,,,PRIVADO
448,00018089,,,PRIVADO
449,00018035,,,PRIVADO
450,00018490,-8.09492051,-79.02868122,PUBLICO
451,00018125,,,PRIVADO
452,00018038,,,PRIVADO
453,00018158,-12.0106846,-76.8238024,PRIVADO
454,00029418,-13.5255977,-71.9517391,PRIVADO
455,00018083,,,PRIVADO
456,00018144,,,PRIVADO
457,00018419,,,PRIVADO
458,00018070,,,PRIVADO
459,00018071,,,PRIVADO
460,00018051,,,PRIVADO
461,00018075,-7.1617465,-78.5127855,PRIVADO
462,00018066,,,PRIVADO
463,00018120,-5.2714643,-78.7752476,PUBLICO
464,00029102,-12.089516,-77.05827779,PRIVADO
465,00018068,,,PRIVADO
466,00018086,,,PRIVADO
467,00018073,-12.0821785,-77.0319868,PRIVADO
468,00018105,,,PRIVADO
469,00018074,,,PRIVADO
470,00018078,,,PRIVADO
471,00029226,-13.53503251,-71.96098701,PRIVADO
472,00018302,,,PRIVADO
473,00018080,,,PRIVADO
474,00018081,-9.93367596,-76.24476835,PUBLICO
475,00018098,-6.7765974,-79.8442978,PRIVADO
476,00029116,-12.274854,-76.8685727,PRIVADO
477,00029227,-13.53347814,-71.9566372,PRIVADO
478,00018106,-5.75691735,-78.4404681,PUBLICO
479,00018017,,,PRIVADO
480,00018114,,,PRIVADO
481,00018312,,,PRIVADO
482,00017933,-14.23252176,-72.31767609,PUBLICO
483,00017934,-14.14486941,-72.30868378,PUBLICO
484,00029156,,,PRIVADO
485,00017977,-12.06542784,-77.05168761,PRIVADO
486,00017935,-14.00620465,-72.27601113,PUBLICO
487,00017938,,,PRIVADO
488,00018014,,,PRIVADO
489,00018518,-6.47962375,-76.38464892,PRIVADO
490,00028607,,,PRIVADO
491,00018107,-12.08374531,-77.0315964,PRIVADO
492,00017744,,,PRIVADO
493,00017834,,,PRIVADO
494,00017920,,,PRIVADO
495,00017892,,,PRIVADO
496,00017754,-12.0463731,-77.042754,PRIVADO
497,00018004,,,PRIVADO
498,00029644,-6.2298995,-77.8711008,PRIVADO
499,00029700,-6.229711,-77.86873732,PRIVADO
500,00017758,,,PRIVADO
501,00018345,-16.4000773,-71.5348587,PRIVADO
502,00018138,,,PRIVADO
503,00017855,,,PRIVADO
504,00029665,-12.17181757,-76.99847729,PRIVADO
505,00028871,-4.5780449,-81.2696218,PRIVADO
506,00017954,,,PRIVADO
507,00018186,,,PRIVADO
508,00017929,,,PRIVADO
509,00018813,,,PRIVADO
510,00018018,-13.06151011,-76.3515083,PRIVADO
511,00017862,,,PRIVADO
512,00018259,,,PRIVADO
513,00029792,-12.0729028,-77.0500612,PRIVADO
514,00029805,-12.1137131,-77.0477371,PRIVADO
515,00017873,,,PRIVADO
516,00018157,,,PRIVADO
517,00018133,,,PRIVADO
518,00017875,-6.84978667,-79.35266,PUBLICO
519,00017922,-8.42576833,-77.38801,PUBLICO
520,00017932,,,PRIVADO
521,00029011,-6.7692605,-79.8536317,PRIVADO
522,00029868,-11.96546254,-77.06410152,PRIVADO
523,00017883,-12.06268977,-77.13320624,PUBLICO
524,00018123,-7.71470098,-78.07406158,PUBLICO
525,00018202,,,PRIVADO
526,00017925,-7.61344654,-77.75689384,PUBLICO
527,00018237,,,PUBLICO
528,00017926,-11.9925312,-77.05902345,PRIVADO
529,00029873,-11.9130226,-77.0392911,PRIVADO
530,00029611,-6.05799138,-77.16758586,PRIVADO
531,00017894,,,PRIVADO
532,00020133,,,PRIVADO
533,00018292,-10.66756904,-76.77138603,PRIVADO
534,00017903,-9.62094209,-76.75877216,PUBLICO
535,00028902,,,PUBLICO
536,00029157,-11.10606436,-77.60792706,PRIVADO
537,00029224,-13.5251531,-71.9542845,PRIVADO
538,00018520,,,PRIVADO
539,00017740,,,PRIVADO
540,00017752,-8.07807571,-79.01433779,PUBLICO
541,00018112,,,PRIVADO
542,00017833,,,PRIVADO
543,00018002,,,PRIVADO
544,00028340,-15.4972583,-70.13237276,PRIVADO
545,00017878,-11.9892459,-77.0582743,PRIVADO
546,00017749,,,PRIVADO
547,00017990,-12.06855439,-75.21142534,PRIVADO
548,00017959,,,PRIVADO
549,00017827,-11.96620576,-76.99227154,PRIVADO
550,00017822,,,PRIVADO
551,00019038,,,PRIVADO
552,00029394,-13.1638737,-74.2235641,PUBLICO
553,00017753,,,PRIVADO
554,00017995,-12.04010823,-75.19246773,PRIVADO
555,00017759,,,PRIVADO
556,00017863,-12.0266855,-77.0552543,PRIVADO
557,00017852,,,PRIVADO
558,00017808,,,PRIVADO
559,00028525,-12.59349218,-69.18152373,PRIVADO
560,00029180,-13.5202,-71.9799,PRIVADO
561,00029183,-13.52041138,-71.98013461,PRIVADO
562,00017857,,,PRIVADO
563,00017839,,,PRIVADO
564,00018061,,,PRIVADO
565,00017871,,,PRIVADO
566,00017797,,,PRIVADO
567,00017908,,,PRIVADO
568,00017801,-10.11937955,-75.26496554,PUBLICO
569,00018223,-12.0502081,-77.053568,PRIVADO
570,00029795,-11.99451381,-77.00508992,PRIVADO
571,00017980,,,PRIVADO
572,00017996,,,PRIVADO
573,00017821,,,PRIVADO
574,00017940,-6.7801398,-79.84195077,PRIVADO
575,00017918,,,PRIVADO
576,00017854,-12.0911891,-77.0284586,PRIVADO
577,00017919,,,PRIVADO
578,00017853,,,PRIVADO
